2
1a 8b 84 86 87 a7 8a 8h 38 6h 
46 16 51 28 42 35 13 61 62 56 
12 51 61 76 6h 26 67 26 24 12 
64 86 15 41 25 42 12 51 68 26 
35 13 51 62 56 16 21 24 62 14 
81 65 46 76 74 64 67 56 26 52 
51 65 62 16 47 18 41 52 45 15 
21 68 26 28 42 68 56 18 41 65 
46 16 41 26 52 56 85 26 82 52 
75 5h 25 28 62 58 65 25 62 14 
51 52 65 72 1h 21 17 41 56 25 
26 82 56 85 25 72 2h 52 58 65 
28 62 52 65 61 26 25 72 67 56 
26 12 52 65 62 86 52 85 65 26 
14 81 72 67 56 51 25 61 26 56 
35 5h 15 53 15 18 61 58 45 62 
86 12 81 61 26 54 85 72 67 16 
15 21 65 26 16 51 31 35 15 13 
61 62 56 63 56 12 51 61 26 58 
45 72 67 16 18 21 68 26 16 21 
25 62 61 56 21 82 54 85 25 12 
64 86 71 27 52 56 15 26 12 52 
35 5h 25 21 62 51 65 25 12 68 
46 71 27 52 58 15 28 12 52 45 
16 21 26 82 16 81 21 62 54 85 
76 27 12 15 61 25 62 12 51 35 
13 21 26 52 16 51 21 62 58 45 
76 27 12 18 61 28 62 12 61 65 
26 21 82 71 67 16 28 12 62 56 
16 31 1h 21 83 12 61 65 26 72 
71 61 26 27 12 27 12 62 56 16 
21 26 82 16 81 21 62 54 85 76 
27 12 15 61 25 62 12 51 31 35 
15 13 21 26 52 16 51 21 52 13 
12 61 58 25 28 62 12 61 64 86 
56 25 21 42 71 57 15 24 12 52 
65 14 81 61 26 51 45 62 36 6h 
26 25 12 65 16 26 52 18 51 54 
85 14 81 24 82 51 65 61 46 51 
45 65 16 28 42 31 63 56 52 15 
62 16 56 75 5h 25 57 25 24 62 
54 85 61 36 23 12 62 16 15 21 
26 52 16 41 58 45 15 61 28 62 
68 46 28 52 18 41 56 85 26 82 
52 75 5h 25 28 62 58 65 25 72 
76 26 52 57 65 26 82 57 85 14 
81 51 65 21 62 52 15 64 86 31 
53 25 24 12 54 15 16 81 56 85 
15 61 21 62 65 16 12 41 62 46 
16 21 32 13 61 64 26 14 21 61 
76 6h 16 12 41 62 46 17 41 61 
76 6h 36 6h 26 63 26 25 12 65 
46 21 32 2h 32 2h 12 53 71 27 
12 16 51 26 52 12 61 76 17 61 
32 1h 61 64 26 63 26 14 51 74 
15 71 25 72 65 46 61 46 47 1h 
12 51 67 36 61 56 36 16 13 61 
13 61 65 26 15 71 24 52 64 56 
26 42 27 52 58 75 17 41 51 65 
62 16 52 85 61 36 6h 16 14 21 
64 26 16 41 58 45 15 61 62 36 
6h 56 12 81 23 54 75 54 75 65 
36 6h 56 57 25 67 46 52 45 65 
26 21 52 61 76 74 65 76 46 2h 
52 26 12 54 65 54 65 67 16 57 
45 57 45 61 36 23 12 54 75 54 
75 21 72 52 45 52 45 61 26 65 
26 56 54 75 25 42 6h 64 56 46 
45 64 45 14 26 52 31 2h 62 13 
26 52 62 65 26 65 16 46 54 18 
51 41 64 68 16 38 62 36 46 24 
25 32 45 84 68 51 62 16 42 54 
64 86 28 57 25 17 41 17 81 15 
81 51 52 15 52 85 53 75 61 76 
56 15 13 71 5h 65 41 56 23 6h 
34 4h 15 24 61 36 43 62 5h 14 
36 35 41 24 62 45 1h 56 24 17 
45 62 5h 21 74 28 18 53 8h 86 
32 47 63 28 8h 71 35 58 1h 84 
43 8h 36 6h 7h ah 3a ah bh 
