1
1h 2h 5a 51 21 51 25 27 28 27 
13 73 24 a2 4a 37 63 18 54 36 
51 41 a4 2a 73 57 42 54 74 37 
38 68 46 45 14 16 31 46 34 14 
81 78 27 26 a6 7a 67 62 72 87 
18 21 26 16 a1 8a 84 74 87 83 
73 a7 6a 62 a2 4a 43 a3 4a 48 
a8 5a 24 26 16 a1 7a 15 87 a1 
4a 34 37 38 17 a1 7a 78 73 83 
67 16 a3 7a 61 62 57 12 31 38 
18 21 26 a6 3a 75 37 a7 4a 64 
62 12 a1 7a 73 27 42 a3 64 8a 
18 21 24 26 46 16 51 42 a4 6a 
15 76 31 87 48 24 13 21 41 a4 
25 8a 83 a3 4a 24 54 52 42 45 
25 a4 3a 52 38 78 25 17 15 75 
31 37 17 61 65 45 a4 8a 87 47 
54 15 a1 7a 78 a8 7a 73 87 18 
a1 8a 81 83 13 18 38 a8 61 5a 
51 41 a4 1a 56 16 a6 4a 15 84 
61 65 15 81 71 57 a5 3a 83 a8 
1a 18 a1 83 4a 24 a3 1a 61 42 
64 62 14 a6 21 5a 54 12 a1 74 
57 6a 52 36 38 72 68 a7 56 2a 
26 a6 7a 25 87 83 a3 52 4a 14 
31 73 47 46 76 37 38 78 57 27 
25 75 72 67 64 a4 1a 81 a8 6a 
65 62 a5 4a 36 74 57 52 63 56 
72 a7 4a 74 27 26 76 25 27 57 
52 72 75 67 62 72 a7 1a 41 74 
87 83 a3 7a 37 a3 65 26 4a 14 
51 62 86 15 41 42 a2 68 46 7a 
45 27 24 65 a6 4a 24 a5 75 4a 
27 34 38 a7 48 74 7a 37 a2 8a 
73 a7 68 5a 15 36 81 86 16 42 
51 52 54 24 25 a4 1a 61 83 76 
27 57 52 72 75 38 47 25 a4 83 
6a 52 63 68 56 26 38 a8 7a 27 
67 65 76 52 62 75 46 25 a7 8a 
18 51 41 71 37 45 a4 7a 52 57 
a3 27 8a 83 25 43 14 52 17 12 
47 a1 8a 24 25 45 84 a4 5a 52 
a2 6a 36 13 a1 7a 72 12 a1 7a 
75 87 a5 3a 78 27 25 a3 15 31 
34 2a 14 31 38 18 21 a1 7a 47 
64 56 51 a1 8a 83 a3 1a 61 a6 
1a 15 a5 4a 43 a3 7a 47 48 78 
24 a7 3a 38 a8 6a 56 51 a1 3a 
42 a4 8a 84 83 a4 7a 57 52 72 
87 37 38 78 73 83 a7 6a 46 43 
73 a7 5a 48 34 63 56 a6 3a 38 
48 a4 7a 17 a1 8a 83 43 64 65 
26 24 25 64 16 71 47 45 75 27 
47 14 15 45 a4 7a 72 a2 4a 37 
38 a8 6a 54 51 56 a1 4a 84 65 
16 48 34 a1 8a 84 74 17 15 75 
83 a7 5a 65 38 36 86 83 63 68 
56 51 a1 5a 52 a2 6a 86 36 38 
68 63 16 12 a2 7a 37 87 83 73 
78 17 15 41 75 87 a4 6a 26 25 
78 47 43 13 a1 65 4a 26 54 a8 
56 46 54 8a 42 a4 1a 51 48 64 
62 15 81 42 65 a4 7a 86 37 a3 
5a 16 31 36 76 37 a5 2a 38 42 
34 84 74 83 87 37 38 78 73 a7 
6a 16 83 a1 4a 43 a3 6a 63 a3 
4a 84 a4 3a 36 16 21 25 75 37 
34 74 67 64 74 67 63 26 73 a7 
8a 58 15 62 41 43 a6 7a 13 57 
a1 3a 13 85 a1 28 5a 58 52 82 
85 72 38 13 57 a1 2a 12 41 75 
37 14 31 81 a8 2a 82 a8 7a 17 
14 74 21 a7 4a 74 a7 8a 58 28 
25 a8 7a 27 57 52 72 75 25 47 
a4 8a 18 52 51 21 25 15 12 81 
85 15 41 74 37 82 38 78 37 36 
76 37 3h 3h 5h 5h 1h ah 3h 4h 
5h 4h 8h 2h 2h 5h 4h 4h 8h 2h 
4h 2h 2h 7h 5h 5h 4h 2h 6h 6h 
5h 6h 3h 
