2
5h 8a 6b 6h a3 8a 68 64 63 61 
24 52 53 45 23 42 52 35 46 24 
26 32 52 35 46 14 2a 25 32 34 
53 52 85 5h 25 35 43 23 52 53 
85 23 82 52 35 41 24 25 32 45 
34 31 83 24 82 32 53 52 32 43 
53 25 23 53 25 24 32 54 35 25 
32 38 53 52 45 58 65 28 38 43 
23 12 3h 42 64 54 25 21 62 51 
45 31 63 54 65 35 43 42 84 4h 
24 34 53 23 42 43 84 23 82 56 
85 18 25 32 45 34 24 52 58 28 
42 43 64 51 35 25 32 34 53 52 
85 81 51 25 35 43 23 52 53 85 
23 82 52 35 46 84 1h 53 25 24 
32 54 35 25 32 36 53 52 45 32 
43 48 64 38 63 58 25 43 14 7h 
48 24 54 35 25 42 45 84 25 82 
42 54 21 36 53 43 54 28 32 34 
83 24 82 32 43 56 45 46 84 56 
25 36 83 15 24 52 14 51 45 25 
42 51 76 43 74 64 67 47 46 34 
24 12 38 13 25 12 32 53 32 43 
18 38 63 58 25 58 25 85 41 74 
36 53 46 84 35 83 54 53 45 53 
85 42 34 42 34 31 83 41 24 41 
24 67 38 13 12 32 83 41 24 41 
24 25 62 45 64 24 52 38 53 58 
65 38 43 28 62 52 65 18 42 64 
54 25 73 75 35 37 53 37 53 81 
35 23 24 52 53 45 23 42 52 35 
46 34 18 43 24 53 85 26 82 51 
85 25 32 46 34 36 83 46 54 26 
82 14 28 12 13 18 76 58 35 67 
28 12 32 13 85 45 76 82 42 54 
42 54 58 25 28 58 25 45 24 23 
52 54 35 24 82 24 82 42 53 85 
24 25 42 25 42 83 43 23 52 23 
52 32 48 24 67 42 34 24 25 42 
25 32 42 54 42 54 58 35 48 24 
48 24 25 32 45 84 45 84 54 58 
48 45 84 45 84 23 82 42 54 42 
54 83 53 58 35 45 24 45 24 23 
52 53 23 82 52 85 81 28 48 34 
48 34 32 35 31 25 45 84 45 84 
54 21 42 58 28 52 21 52 41 84 
41 84 82 68 42 64 84 28 53 25 
23 62 53 45 83 68 28 62 13 48 
34 58 35 41 34 54 85 75 78 58 
57 45 43 84 47 84 53 85 45 84 
82 58 54 25 84 38 26 32 82 48 
56 45 46 34 56 25 86 38 48 14 
52 15 21 41 84 52 65 83 28 43 
64 54 65 23 62 52 45 42 64 83 
28 13 82 68 48 24 54 25 28 42 
31 24 32 58 45 48 34 58 35 45 
34 25 82 43 14 72 78 28 41 54 
27 52 87 14 12 42 41 24 41 24 
14 7h 41 42 34 54 25 24 82 54 
85 25 42 12 14 24 21 52 58 45 
28 42 52 45 21 25 42 43 54 52 
35 14 4h 12 7h 41 24 53 25 87 
52 85 12 41 24 58 75 4h 24 58 
35 87 25 82 45 84 24 52 12 15 
25 21 42 48 54 28 12 45 14 24 
52 24 52 42 45 25 24 52 24 52 
42 13 53 51 45 41 34 54 25 21 
72 51 75 87 27 12 58 15 24 32 
12 52 45 52 45 41 24 45 24 41 
24 51 54 85 23 72 58 75 5h 35 
87 27 42 53 85 24 82 5h 45 28 
32 42 84 52 85 45 24 86 28 48 
54 23 82 83 68 23 12 23 12 58 
15 25 32 25 32 48 54 42 54 24 
25 42 25 32 21 32 41 54 41 54 
52 85 42 84 54 25 86 28 58 15 
1h 23 82 52 45 83 28 23 62 83 
18 42 14 52 35 84 38 58 45 41 
84 85 38 45 34 84 58 54 51 45 
85 48 43 54 58 25 81 41 34 84 
28 58 45 43 74 5h 35 7h 53 85 
82 38 52 15 83 78 1h 13 2h 87 
18 2h 26 12 82 38 82 38 31 23 
38 23 83 82 68 2h 86 38 32 13 
23 83 68 21 32 31 86 18 28 62 
1h 31 83 81 78 31 73 72 76 26 
36 13 86 18 38 63 27 12 6h 21 
72 7h 67 6h 72 87 81 28 71 82 
ah 17 18 78 27 26 12 4a 64 74 
87 82 48 72 84 ah 27 28 21 78 
5a 82 47 15 85 25 74 ah 48 46 
86 3a 52 57 64 68 75 25 48 ah 
83 86 36 5a 67 5h 62 51 26 76 
14 ah 68 63 41 36 86 6a 15 6h 
51 ah 12 2a 1h ah 6a bh ah 
