1
43 5a 78 67 a1 5a 57 53 53 56 
72 17 62 16 76 27 14 52 75 67 
63 26 73 27 67 36 34 64 16 28 
72 78 47 28 42 46 23 82 36 76 
87 27 62 34 83 64 24 72 73 67 
23 42 76 47 27 32 53 25 72 76 
37 26 32 72 67 38 43 63 73 27 
28 32 78 37 64 61 46 61 46 16 
14 73 87 36 26 82 72 67 34 83 
64 74 27 23 62 73 47 26 42 72 
37 53 75 27 26 32 76 37 27 62 
38 43 63 64 34 24 82 5h 75 72 
47 36 23 46 76 57 52 35 23 75 
47 28 42 72 67 38 23 58 32 63 
73 27 21 32 37 63 27 12 32 73 
72 85 76 27 37 23 21 72 73 67 
23 12 72 37 32 58 72 57 61 26 
31 53 73 27 67 26 24 72 76 17 
67 61 76 26 32 74 67 61 86 71 
87 67 86 23 12 73 68 36 14 24 
32 67 86 26 72 26 12 73 67 73 
67 21 32 36 26 12 73 67 73 67 
68 16 26 32 27 32 72 85 ah 27 
23 72 23 62 75 37 75 37 61 56 
53 63 16 58 78 37 78 37 87 35 
83 35 43 61 86 75 42 32 13 43 
68 26 23 63 86 24 32 76 37 27 
62 68 56 28 72 68 36 85 76 87 
26 82 72 67 64 74 27 63 56 28 
52 28 52 82 62 36 31 43 61 26 
28 41 31 83 72 47 28 68 46 76 
17 25 12 72 67 35 23 27 12 37 
13 26 72 76 85 73 67 27 62 61 
76 72 37 62 16 76 27 26 76 87 
34 83 24 62 73 67 27 32 38 53 
28 72 38 63 85 73 87 23 82 72 
37 34 74 27 36 53 37 53 58 25 
82 32 63 25 75 72 47 36 43 73 
67 61 36 37 43 73 63 26 71 37 
31 71 47 56 28 62 58 28 12 37 
13 23 72 65 36 32 13 85 14 34 
83 62 86 36 23 24 27 52 3a 63 
23 72 35 42 68 56 38 23 68 56 
34 83 85 35 83 27 42 27 42 38 
43 23 72 23 72 68 36 37 67 86 
31 83 14 24 72 24 72 38 53 36 
53 63 68 36 68 56 36 83 36 83 
85 35 63 35 63 27 42 27 42 72 
68 26 74 64 86 27 42 27 42 72 
68 56 58 2h 63 76 38 24 52 71 
47 61 46 76 17 32 63 76 17 67 
36 23 25 62 35 73 85 27 82 52 
61 26 31 53 38 62 85 1h 73 16 
25 37 83 23 72 53 27 52 32 35 
25 76 38 53 28 62 38 53 27 52 
32 73 82 37 83 61 26 63 26 36 
32 63 14 74 32 83 63 26 63 26 
36 32 62 63 26 63 26 36 71 67 
41 62 72 3h 26 27 14 73 17 63 
46 25 42 62 56 6h 36 27 21 32 
62 76 74 17 41 61 35 7h 26 13 
17 62 56 37 23 26 72 36 27 8h 
73 71 31 4h 62 68 17 13 86 26 
73 ah 34 31 41 6a 18 6h 12 65 
21 81 57 ah 13 14 75 41 31 1a 
56 1h 65 ah 52 2a 5h ah 1a ah 

